"13","Ruta soritor","1","10","2023-06-16 09:03:24","2023-06-16 16:40:01","2023-06-16"
"14","Ruta habana","1","17","2023-06-16 08:06:23","2023-06-16 09:03:11","2023-06-16"
"15","Ruta la nueva union","1","9","2023-06-16 14:57:58","2023-06-16 15:00:14","2023-06-16"
"16","Ruta jepelacio","1","16","2023-06-18 06:59:54","2023-06-18 10:23:59","2023-06-18"
"17","ruta moyobamba","2","3","2023-06-18 11:27:35","2023-06-18 11:29:16","2023-06-18"
"18","jeoelacio ","2","16","2023-06-18 11:45:17","2023-06-18 11:57:57","2023-06-18"
"19","Ruta Soritor ","1","10","2023-06-23 08:44:58","2023-06-23 14:50:24","2023-06-23"
"20","ruta Soritor ","1","10","2023-06-23 15:07:22","2023-06-23 16:25:26","2023-06-23"
"21","ruta habana ","1","17","2023-06-23 16:26:52","2023-06-23 18:39:39","2023-06-23"
"22","RUTA jepelacio ","1","16","2023-06-24 21:43:45","2023-06-25 15:48:14","2023-06-25"
"23","ruta rioja","2","6","2023-06-27 05:35:55","2023-06-27 07:55:58","2023-06-27"
"24","Ruta naranjos","2","11","2023-06-27 08:03:29","2023-06-27 09:04:56","2023-06-27"
"25","Nueva Cajamarca ","2","20","2023-06-28 20:11:51","2023-06-28 20:11:52","2023-06-30"
